Postal_code,City
0603,OSLO
0604,OSLO
0605,OSLO
0606,OSLO
0607,OSLO
0608,OSLO
0609,OSLO
0610,OSLO
0611,OSLO
0612,OSLO
0613,OSLO
0614,OSLO
0615,OSLO
0616,OSLO
0617,OSLO
0618,OSLO
0619,OSLO
0620,OSLO
0621,OSLO
0622,OSLO
0623,OSLO
0624,OSLO
0630,OSLO
0640,OSLO
0645,OSLO
0650,OSLO
0651,OSLO
0652,OSLO
0653,OSLO
0654,OSLO
0655,OSLO
0656,OSLO
0657,OSLO
0658,OSLO
0659,OSLO
0660,OSLO
0661,OSLO
0662,OSLO
0663,OSLO
0664,OSLO
0665,OSLO
0666,OSLO
0667,OSLO
0668,OSLO
0669,OSLO
0670,OSLO
0671,OSLO
0672,OSLO
0673,OSLO
0674,OSLO
0675,OSLO
0676,OSLO
0677,OSLO
0678,OSLO
0679,OSLO
0680,OSLO
0681,OSLO
0682,OSLO
0683,OSLO
0684,OSLO
0685,OSLO
0686,OSLO
0687,OSLO
0688,OSLO
0689,OSLO
0690,OSLO
0691,OSLO
0692,OSLO
0693,OSLO
0694,OSLO
0701,OSLO
0702,OSLO
0703,OSLO
0705,OSLO
0708,OSLO
0710,OSLO
0712,OSLO
0750,OSLO
0751,OSLO
0752,OSLO
0753,OSLO
0754,OSLO
0755,OSLO
0756,OSLO
0757,OSLO
0758,OSLO
0759,OSLO
0760,OSLO
0763,OSLO
0764,OSLO
0765,OSLO
0766,OSLO
0767,OSLO
0768,OSLO
0770,OSLO
0771,OSLO
0772,OSLO
0773,OSLO
0774,OSLO
0775,OSLO
0776,OSLO
